message_id,user_id,username,receiver_id,receiver_name,message,timestamp,is_group,group_id,message_status
1,U005,Eve,G001,Team_Project,I'm almost done with the task.,2025-09-20 10:00:13,True,G001,Pending
2,U001,Alice,U004,Diana,Please review the file.,2025-09-20 10:00:46,False,,Delivered
3,U003,Charlie,G001,Team_Project,Good night everyone!,2025-09-20 10:00:51,True,G001,Pending
4,U003,Charlie,G002,Friends_Chat,Working on it now.,2025-09-20 10:01:28,True,G002,Pending
5,U002,Bob,U003,Charlie,Good night everyone!,2025-09-20 10:00:50,False,,Delivered
6,U005,Eve,G001,Team_Project,What’s the plan for today?,2025-09-20 10:02:24,True,G001,Pending
7,U005,Eve,U002,Bob,What’s the plan for today?,2025-09-20 10:00:49,False,,Delivered
8,U003,Charlie,G001,Team_Project,Good morning!,2025-09-20 10:03:36,True,G001,Delivered
9,U004,Diana,U003,Charlie,I'm almost done with the task.,2025-09-20 10:03:45,False,,Seen
10,U003,Charlie,G002,Friends_Chat,"Sure, sending it now.",2025-09-20 10:01:10,True,G002,Seen
11,U005,Eve,U004,Diana,I’ll join the call soon.,2025-09-20 10:03:29,False,,Delivered
12,U005,Eve,G001,Team_Project,That sounds great!,2025-09-20 10:01:00,True,G001,Pending
13,U004,Diana,G002,Friends_Chat,Can you share the document?,2025-09-20 10:03:41,True,G002,Seen
14,U004,Diana,G002,Friends_Chat,I'm almost done with the task.,2025-09-20 10:01:52,True,G002,Delivered
15,U004,Diana,G002,Friends_Chat,Reminder: deadline is tomorrow!,2025-09-20 10:07:15,True,G002,Delivered
16,U003,Charlie,G001,Team_Project,Good morning!,2025-09-20 10:03:28,True,G001,Delivered
17,U004,Diana,U003,Charlie,See you tomorrow.,2025-09-20 10:04:32,False,,Delivered
18,U002,Bob,U004,Diana,Did you finish the report?,2025-09-20 10:08:42,False,,Delivered
19,U005,Eve,U003,Charlie,Can you share the document?,2025-09-20 10:06:39,False,,Seen
20,U003,Charlie,G002,Friends_Chat,Did you finish the report?,2025-09-20 10:02:20,True,G002,Pending
21,U002,Bob,U003,Charlie,Please review the file.,2025-09-20 10:08:24,False,,Pending
22,U002,Bob,G002,Friends_Chat,See you tomorrow.,2025-09-20 10:05:52,True,G002,Delivered
23,U004,Diana,U005,Eve,Please review the file.,2025-09-20 10:05:22,False,,Delivered
24,U002,Bob,U005,Eve,That sounds great!,2025-09-20 10:04:48,False,,Pending
25,U001,Alice,U003,Charlie,Working on it now.,2025-09-20 10:08:45,False,,Seen
26,U001,Alice,G002,Friends_Chat,I’ll join the call soon.,2025-09-20 10:10:24,True,G002,Seen
27,U002,Bob,U001,Alice,Reminder: deadline is tomorrow!,2025-09-20 10:02:42,False,,Delivered
